Index,length_sum,length_mean,travel_time,count,max
8999,203907.5616,606.8677428,72.82412914,154,0.283565389
9000,19783.48719,215.0379042,25.80454851,89,0.387380085
9001,89326.71595,158.9443344,14.52163579,265,0.31813422
9002,56427.20271,238.0894629,28.57073555,203,0.457765427
9003,139639.7159,297.1057785,35.02870716,416,0.424632601
9004,75614.23471,420.0790817,50.40948981,80,0.371292316
9005,18395.65291,255.4951793,23.75055139,65,0.321564635
9006,210896.127,252.8730539,30.34476647,344,0.257805797
9007,69292.83079,298.6759948,35.84111938,104,0.365851105
9008,55541.29324,234.3514483,27.21999421,207,0.26624637
9009,33252.77145,143.3309114,17.19970937,214,0.350426553
9010,67204.67967,248.906221,29.86874652,119,0.386180401
9011,40048.89397,260.0577531,31.20693037,73,0.270527342
9012,82572.08783,335.6588936,40.27906724,107,0.383487924
9013,21603.03804,194.6219643,15.43702069,102,0.269180615
9014,27110.41227,334.6964478,40.16357373,73,0.263603779
9015,311306.4443,185.191222,20.85239457,699,0.313200695
9016,168530.1222,259.2771111,31.00111541,260,0.413443037
9017,81934.89094,253.668393,30.32737488,260,0.413443037
9018,66750.32379,290.2187991,34.51199433,107,0.352456217
9019,67936.47931,210.982855,25.15600772,148,0.283867857
9020,7187.310087,299.4712536,35.93655043,24,0.41227049
9021,73524.54766,311.5446935,36.74333838,112,0.264669193
9022,36762.27383,311.5446935,36.69374912,112,0.264669193
9023,70093.16851,221.8138244,26.61765893,132,0.222475898
9024,12643.39793,191.5666352,22.98799623,33,0.339061387
9025,57347.35956,263.0612824,31.56735389,98,0.299445794
9026,35828.11894,191.5942189,22.99130627,168,0.320546024
9027,30287.33919,252.3944933,30.28733919,106,0.385208747
9028,64997.07324,335.03646,40.2043752,88,0.326922282
9029,14588.23727,540.3050839,64.83661007,25,0.385977435
9030,52850.89568,84.6969482,9.882314721,266,0.402288943
9031,127046.9447,312.9235092,37.55082111,356,0.357999414
9032,25796.88755,314.5961897,37.75154276,70,0.289784304
9033,50844.34227,249.2369719,29.90843663,94,0.290406327
9034,67535.58926,419.4757097,50.33708516,155,0.41448338
9035,105253.4154,269.8805522,32.22010269,171,0.284194519
9036,52626.70768,269.8805522,32.12994518,171,0.284194519
